File,Line,Severity,Category,Rule/Issue,MessageOrRisk,CurrentCode,SuggestedFix,EstimatedEffortHrs,Dependencies
packages/mca/src/__tests__/server.test.ts,119,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  (globalThis as any).fetch = fetchStub;
  ({ app } = await import('../server'));",Model actual type or refine generics instead of casting.,,
packages/mca/src/__tests__/server.test.ts,135,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  upsertExecution.mockReset();
  upsertExecution.mockResolvedValue(undefined as unknown as void);
  publish.mockReset();",Model actual type or refine generics instead of casting.,,
packages/mca/src/__tests__/server.test.ts,137,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  publish.mockReset();
  publish.mockResolvedValue(undefined as unknown as void);
  minioGetObject.mockClear();",Model actual type or refine generics instead of casting.,,
packages/mca/src/__tests__/server.test.ts,139,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  minioGetObject.mockClear();
  ensureBucket.mockResolvedValue(undefined as unknown as void);
  bucketExists.mockResolvedValue(true);",Model actual type or refine generics instead of casting.,,
packages/implementer/src/server.ts,43,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      const buf = await vfs.readFile(reportPath);
      const reportJson = JSON.parse(buf.toString('utf8')) as unknown;
      // Non-invasive: embed under _validator_advisory for the agent prompt construction",Model actual type or refine generics instead of casting.,,
packages/implementer/src/server.ts,45,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      // Non-invasive: embed under _validator_advisory for the agent prompt construction
      advisoryPlan = { ...plan, _validator_advisory: reportJson } as unknown as typeof plan;
    } catch {}",Model actual type or refine generics instead of casting.,,
packages/implementer/src/__tests__/publisher.test.ts,13,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    await p.publish({ type: 'edit.complete', path: 'a', tool: 'create', bytes: 3 });
    const calls = (publish as unknown as ReturnType<typeof vi.fn>).mock.calls;
    expect(calls.length).toBe(3);",Model actual type or refine generics instead of casting.,,
packages/shared/src/langfuse.ts,18,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    }
    return new Langfuse(opts as unknown as ConstructorParameters<typeof Langfuse>[0]);
  } catch {",Model actual type or refine generics instead of casting.,,
packages/runner/src/agent.ts,42,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"
    const vfs = (await createVfs(execId)) as unknown as Vfs;
    // Collect code files from MinIO (current code/ root)",Model actual type or refine generics instead of casting.,,
packages/runner/src/agent.ts,57,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    const { Sandbox }: typeof import('@e2b/sdk') = await import('@e2b/sdk');
    const sandbox: SandboxApi = new Sandbox({ apiKey }) as unknown as SandboxApi;
    try {",Model actual type or refine generics instead of casting.,,
packages/runner/src/server.ts,18,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  try {
    const vfs = (await createVfs('healthz', { prefixSuffix: 'runner' })) as unknown as { listFiles: () => Promise<unknown> };
    await vfs.listFiles();",Model actual type or refine generics instead of casting.,,
packages/runner/src/compat.ts,32,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  return (await import(modulePath)) as any;
}",Model actual type or refine generics instead of casting.,,
packages/runner/src/__tests__/server.test.ts,15,MINOR,pattern,non-null-assertion,Non-null assertion may throw if value is undefined at runtime.,"  async listFiles(): Promise<vfsMod.VfsFileEntry[]> {
    return Array.from(this.store.keys()).map((k) => ({ path: k, size: this.store.get(k)!.length, lastModified: new Date() }));
  }",Add null checks before dereferencing.,,
packages/runner/src/__tests__/server.test.ts,47,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    vi.spyOn(vfsMod, 'createVfs').mockResolvedValue(
      new MemVfs() as unknown as Awaited<ReturnType<typeof vfsMod.createVfs>>
    );",Model actual type or refine generics instead of casting.,,
packages/planner/src/plan.test.ts,18,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    const bad = { tasks: [], acceptance_criteria: [] };
    expect(() => PlanSchema.parse(bad as unknown)).toThrow();
  });",Model actual type or refine generics instead of casting.,,
packages/planner/src/__tests__/server.test.ts,49,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  ensureBucket.mockReset();
  ensureBucket.mockResolvedValue(undefined as unknown as void);
  putObject.mockReset();",Model actual type or refine generics instead of casting.,,
packages/vfs/src/__tests__/minioVfs.unit.test.ts,22,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    if (!entry) throw Object.assign(new Error('no such key'), { code: 'NoSuchKey' });
    return { metaData: entry.meta } as unknown as { metaData: Record<string, string> };
  }",Model actual type or refine generics instead of casting.,,
packages/vfs/src/__tests__/minioVfs.unit.test.ts,34,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    });
    return emitter as unknown as ReturnType<Client['listObjectsV2']>;
  }",Model actual type or refine generics instead of casting.,,
packages/vfs/src/__tests__/minioVfs.unit.test.ts,44,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    const client = new FakeMinioClient();
    const vfs = new MinioVfs({ client: client as unknown as Client, bucket: 'b', prefix: 'tests/p1', clock: (() => {
      const seq = [new Date('2024-01-01T00:00:00Z'), new Date('2024-01-02T00:00:00Z')];",Model actual type or refine generics instead of casting.,,
packages/vfs/src/__tests__/minioVfs.unit.test.ts,68,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    const client = new FakeMinioClient();
    const vfs = new MinioVfs({ client: client as unknown as Client, bucket: 'b', prefix: 'tests/p2' });
    await vfs.writeFile('src/a.ts', 'a');",Model actual type or refine generics instead of casting.,,
packages/vfs/src/__tests__/minioVfs.unit.test.ts,73,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    expect(files.length).toBe(2);
    await deletePrefix(client as unknown as Client, 'b', 'tests/p2');
    files = await vfs.listFiles('src');",Model actual type or refine generics instead of casting.,,
packages/gateway/src/__tests__/server.test.ts,50,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  vi.stubGlobal('fetch', fetchMock);
  upsertExecution.mockResolvedValue(undefined as unknown as void);
  getExecution.mockResolvedValue({ id: 'abc', status: 'planned' } as unknown as Record<string, unknown>);",Model actual type or refine generics instead of casting.,,
packages/gateway/src/__tests__/server.test.ts,51,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  upsertExecution.mockResolvedValue(undefined as unknown as void);
  getExecution.mockResolvedValue({ id: 'abc', status: 'planned' } as unknown as Record<string, unknown>);
  publish.mockResolvedValue(undefined as unknown as void);",Model actual type or refine generics instead of casting.,,
packages/gateway/src/__tests__/server.test.ts,52,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  getExecution.mockResolvedValue({ id: 'abc', status: 'planned' } as unknown as Record<string, unknown>);
  publish.mockResolvedValue(undefined as unknown as void);
  subscribe.mockReset();",Model actual type or refine generics instead of casting.,,
packages/gateway/src/__tests__/server.test.ts,99,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"
    const stack = (app as unknown as { _router: { stack: Array<{ route?: { path: string; stack: Array<{ handle: unknown }> } }> } })._router.stack;
    const layer = stack.find((l) => l.route?.path === '/api/executions/:id/stream');",Model actual type or refine generics instead of casting.,,
packages/gateway/src/__tests__/server.test.ts,102,MINOR,pattern,non-null-assertion,Non-null assertion may throw if value is undefined at runtime.,"    expect(layer).toBeDefined();
    const handler = layer!.route!.stack[0].handle as (req: Request, res: Response) => Promise<void>;
",Add null checks before dereferencing.,,
packages/gateway/src/__tests__/server.test.ts,117,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      end: vi.fn()
    } as unknown as Response;
",Model actual type or refine generics instead of casting.,,
packages/validator/src/server.ts,136,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  // Relax types to align with runner usage and avoid SDK constructor typing drift
  const SandboxCtor = Sandbox as unknown as { new (opts: { apiKey: string }): SandboxApi };
  const sandbox: SandboxApi = new SandboxCtor({ apiKey });",Model actual type or refine generics instead of casting.,,
packages/validator/src/server.ts,245,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        if (parsed.success) report = parsed.data;
        const respObj = response as unknown as { model?: unknown; usage?: unknown };
        const modelId = typeof respObj.model === 'string' ? respObj.model : 'openai';",Model actual type or refine generics instead of casting.,,
packages/validator/src/server.ts,248,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        trace?.generation?.({ model: String(modelId), input: {}, output: report });
        const lfMaybe = lf as unknown as { flush?: () => Promise<void> };
        try { await lfMaybe.flush?.(); } catch {}",Model actual type or refine generics instead of casting.,,
packages/validator/src/__tests__/server.test.ts,164,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      close: vi.fn()
    }) as unknown as ReturnType<typeof mod.startServer>);
    mod.startServer();",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,32,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      process: { start: async () => ({ wait: async () => ({ exitCode: 0, stdout: 'ok', stderr: '' }) }) }
    } as any;
    const out = await exec(okSandbox, '/', 'echo', ['ok']);",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,38,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      process: { start: async () => ({ wait: async () => ({ exitCode: 1, stdout: 'err', stderr: 'trace' }) }) }
    } as any;
    await expect(exec(badSandbox, '/', 'echo', ['bad'])).rejects.toThrow(/command failed/);",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,52,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"      }
    } as any;
    const n = await scanForSecrets(sandbox, '/project/src');",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,86,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        })
      } as any;
    });",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,114,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        }
      } as any;
    });",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,126,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        }
      } as any;
    });",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,146,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        })
      } as any;
    });",Model actual type or refine generics instead of casting.,,
packages/validator/test/expanded-coverage.spec.ts,162,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"        }
      } as any;
    });",Model actual type or refine generics instead of casting.,,
packages/validator/test/coverage-parse.spec.ts,5,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  try {
    const j = JSON.parse(json) as any;
    return j?.total?.lines?.pct ?? null;",Model actual type or refine generics instead of casting.,,
packages/validator/test/integration-validate.spec.ts,18,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    VfsFileEntry: class {}
  } as any;
});",Model actual type or refine generics instead of casting.,,
packages/validator/test/integration-validate.spec.ts,41,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    }
  } as any;
});",Model actual type or refine generics instead of casting.,,
apps/web/app/api/session/route.ts,17,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    const j = await r.json().catch(() => ({}));
    const id = String((j as any).id || Date.now());
    return NextResponse.json({ id });",Model actual type or refine generics instead of casting.,,
apps/web/app/api/stream/route.ts,17,MAJOR,pattern,non-null-assertion,Non-null assertion may throw if value is undefined at runtime.,"        (async () => {
          const reader = upstream.body!.getReader();
          for (;;) {",Add null checks before dereferencing.,,
apps/web/app/api/stream/route.ts,46,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  try {
    const e2e = JSON.parse(await fs.readFile(e2ePath, 'utf-8')) as any;
    const trace = Array.isArray(e2e?.execution_trace) ? e2e.execution_trace : [];",Model actual type or refine generics instead of casting.,,
apps/web/app/api/stream/route.ts,51,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  try {
    const v5 = JSON.parse(await fs.readFile(v5Path, 'utf-8')) as any;
    if (v5?.e2e?.touched_validator && !phases.includes('validated')) phases.push('validated');",Model actual type or refine generics instead of casting.,,
packages/implementer/src/agent.ts,108,MAJOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"      }
      const choice = response.choices[0];
      const message = choice?.message;",Check array length before indexing or handle undefined.,,
packages/implementer/src/__tests__/publisher.test.ts,15,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(calls.length).toBe(3);
    expect(calls[0][0]).toBe('exec-1');
    expect(calls[0][1]).toBe('tool_call');",Check array length before indexing or handle undefined.,,
packages/implementer/src/__tests__/publisher.test.ts,16,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(calls[0][0]).toBe('exec-1');
    expect(calls[0][1]).toBe('tool_call');
    expect(calls[1][1]).toBe('edit.start');",Check array length before indexing or handle undefined.,,
packages/implementer/src/__tests__/publisher.test.ts,17,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(calls[0][1]).toBe('tool_call');
    expect(calls[1][1]).toBe('edit.start');
    expect(calls[2][1]).toBe('edit.complete');",Check array length before indexing or handle undefined.,,
packages/implementer/src/__tests__/publisher.test.ts,18,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(calls[1][1]).toBe('edit.start');
    expect(calls[2][1]).toBe('edit.complete');
  });",Check array length before indexing or handle undefined.,,
packages/shared/src/langfuse.ts,18,MAJOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    }
    return new Langfuse(opts as unknown as ConstructorParameters<typeof Langfuse>[0]);
  } catch {",Check array length before indexing or handle undefined.,,
packages/shared/src/db.ts,22,MAJOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"  const { rows } = await pool.query('SELECT * FROM executions WHERE id = $1', [id]);
  return rows[0] || null;
}",Check array length before indexing or handle undefined.,,
packages/shared/src/__tests__/events.test.ts,63,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"
    const handler = subInstance.on.mock.calls[0][1] as (channel: string, payload: string) => void;
    handler('exec:abc', JSON.stringify({ event: 'test', data: { foo: 'bar' }, ts: 1 }));",Check array length before indexing or handle undefined.,,
packages/planner/src/server.ts,76,MAJOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"      });
      const content = llmResponse.choices[0]?.message?.content || '{}';
      planObj = JSON.parse(content);",Check array length before indexing or handle undefined.,,
packages/planner/src/__tests__/server.test.ts,79,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(putObject).toHaveBeenCalledTimes(2);
    const firstCall = putObject.mock.calls[0];
    expect(firstCall[0]).toBe('umca-artifacts');",Check array length before indexing or handle undefined.,,
packages/planner/src/__tests__/server.test.ts,80,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    const firstCall = putObject.mock.calls[0];
    expect(firstCall[0]).toBe('umca-artifacts');
    expect(firstCall[1]).toBe('exec-123/plan.json');",Check array length before indexing or handle undefined.,,
packages/planner/src/__tests__/server.test.ts,81,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(firstCall[0]).toBe('umca-artifacts');
    expect(firstCall[1]).toBe('exec-123/plan.json');
    const planPayload = JSON.parse(firstCall[2].toString());",Check array length before indexing or handle undefined.,,
packages/planner/src/__tests__/server.test.ts,82,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(firstCall[1]).toBe('exec-123/plan.json');
    const planPayload = JSON.parse(firstCall[2].toString());
    expect(Array.isArray(planPayload.tasks)).toBe(true);",Check array length before indexing or handle undefined.,,
packages/vfs/src/__tests__/minioVfs.unit.test.ts,57,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    // Accept optional millisecond segment before trailing Z
    expect(versions[0].versionPath).toMatch(/versions\/2024-01-01T00-00-00[^/]*\/src\/app\.ts$/);
    const buf = await vfs.readFile('src/app.ts');",Check array length before indexing or handle undefined.,,
packages/vfs/src/__tests__/minioVfs.test.ts,144,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(versions.length).toBeGreaterThanOrEqual(1);
    expect(versions[0].versionPath).toMatch(/versions\/2024-01-01T00-00-00Z\/src\/app\.ts$/);
    const latest = await vfs.readFile('src/app.ts');",Check array length before indexing or handle undefined.,,
packages/gateway/src/__tests__/server.test.ts,102,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(layer).toBeDefined();
    const handler = layer!.route!.stack[0].handle as (req: Request, res: Response) => Promise<void>;
",Check array length before indexing or handle undefined.,,
packages/validator/src/server.ts,242,MAJOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"        });
        const content = response.choices?.[0]?.message?.content || '';
        const parsed = ValidationReportSchema.safeParse(JSON.parse(content || '{}'));",Check array length before indexing or handle undefined.,,
packages/validator/src/__tests__/utils.test.ts,31,MINOR,pattern,unsafe-index,Direct index access without guards may crash on empty arrays.,"    expect(issues).toHaveLength(1);
    expect(issues[0].type).toBe('secrets');
  });",Check array length before indexing or handle undefined.,,
packages/implementer/src/__tests__/agent.test.ts,110,MINOR,pattern,console-log,Console logging bypasses structured logger expectations.,"                    name: 'create',
                    arguments: JSON.stringify({ path: 'src/app.ts', content: 'console.log(""ok"")\n' })
                  }",Use service logger utilities or remove for tests.,,
packages/implementer/src/__tests__/agent.test.ts,171,MINOR,pattern,console-log,Console logging bypasses structured logger expectations.,"    const buf = await vfs.readFile('src/app.ts');
    expect(buf.toString()).toContain('console.log(""ok"")');
    expect(events.some((e) => e.type === 'tool_call')).toBe(true);",Use service logger utilities or remove for tests.,,
packages/implementer/src/__tests__/agent.unit.test.ts,54,MINOR,pattern,console-log,Console logging bypasses structured logger expectations.,"              tool_calls: [
                { id: 'call_1', type: 'function', function: { name: 'create', arguments: JSON.stringify({ path: 'src/app.ts', content: 'console.log(""ok"")\n' }) } }
              ]",Use service logger utilities or remove for tests.,,
packages/implementer/src/__tests__/tools.test.ts,42,MINOR,pattern,console-log,Console logging bypasses structured logger expectations.,"  it('create and view a file', async () => {
    const res = await tool.execute('create', { path: 'src/app.ts', content: 'console.log(""hi"")\n', contentType: 'text/plain' });
    expect(JSON.parse(res)).toMatchObject({ ok: true, path: 'src/app.ts' });",Use service logger utilities or remove for tests.,,
packages/vfs/src/__tests__/minioVfs.test.ts,89,MINOR,pattern,console-log,Console logging bypasses structured logger expectations.,"    const vfs = new MinioVfs({ client, bucket, prefix });
    await vfs.writeFile('src/app.ts', 'console.log(""hello"");', { contentType: 'text/plain' });
    const buf = await vfs.readFile('src/app.ts');",Use service logger utilities or remove for tests.,,
packages/vfs/src/__tests__/minioVfs.test.ts,91,MINOR,pattern,console-log,Console logging bypasses structured logger expectations.,"    const buf = await vfs.readFile('src/app.ts');
    expect(buf.toString()).toContain('console.log(""hello"")');
  });",Use service logger utilities or remove for tests.,,
packages/validator/src/server.ts,215,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    let linesPct: number | null = null;
    try { const parsed = JSON.parse(String(coverageJson || '{}')); linesPct = parsed.total?.lines?.pct ?? null; } catch {}
",Log the error with context and either rethrow or handle explicitly.,,
packages/validator/src/server.ts,249,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"        const lfMaybe = lf as unknown as { flush?: () => Promise<void> };
        try { await lfMaybe.flush?.(); } catch {}
      } catch (err) {",Log the error with context and either rethrow or handle explicitly.,,
packages/validator/src/server.ts,301,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"  } finally {
    try { await sandbox.close?.(); } catch {}
  }",Log the error with context and either rethrow or handle explicitly.,,
packages/validator/src/server.ts,334,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"      }
    } catch {}
  }",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/api/stream/route.ts,49,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    const p = trace.map((t: any) => String(t.phase || '')); if (p.length > 0) phases = p;
  } catch {}
  try {",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/api/stream/route.ts,53,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    if (v5?.e2e?.touched_validator && !phases.includes('validated')) phases.push('validated');
  } catch {}
",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/api/artifacts/route.ts,20,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    }
  } catch {}
  return Response.json({ entries });",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/api/artifacts/route.ts,37,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"      zip.file(p, buf);
    } catch {}
  }",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/api/file/route.ts,19,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"      return mod;
    } catch {}
  }",Log the error with context and either rethrow or handle explicitly.,,
packages/planner/src/server.ts,105,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"      });
      try { await lf?.flush?.(); } catch {}
    }",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/session/[id]/page.tsx,29,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"        if (payload?.status) setPhase(payload.status);
      } catch {}
    };",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/session/[id]/page.tsx,36,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"        if (payload?.status) setPhase(payload.status);
      } catch {}
    };",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/session/[id]/page.tsx,39,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    const handleAgent = (ev: MessageEvent) => {
      try { setEvents((prev) => [...prev, { type: 'agent', data: JSON.parse(ev.data) }]); } catch {}
    };",Log the error with context and either rethrow or handle explicitly.,,
apps/web/app/session/[id]/page.tsx,54,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"        }
      } catch {}
    };",Log the error with context and either rethrow or handle explicitly.,,
packages/runner/src/compat.ts,18,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    if (fs.existsSync(path.join(cwdCandidate, 'packages', 'shared'))) return cwdCandidate;
  } catch {}
  // fallback to path relative to this compiled file location (CommonJS __dirname)",Log the error with context and either rethrow or handle explicitly.,,
packages/runner/src/compat.ts,38,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"  const candA = path.join(repoRoot, 'packages/shared/dist/packages/shared/src', relBasename);
  try { return req(candA); } catch {}
  // Fallback layout B: packages/shared/dist/src/*.js",Log the error with context and either rethrow or handle explicitly.,,
packages/runner/src/agent.ts,142,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    } finally {
      try { await sandbox.close?.(); } catch {}
    }",Log the error with context and either rethrow or handle explicitly.,,
packages/shared/src/otel.ts,19,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"  });
  try { void sdk.start(); } catch {}
}",Log the error with context and either rethrow or handle explicitly.,,
packages/shared/src/events.ts,24,MAJOR,pattern,silent-catch,Empty catch suppresses errors and hides root causes.,"    if (channel === ch) {
      try { onMessage(JSON.parse(message) as SSEMessage); } catch {}
    }",Log the error with context and either rethrow or handle explicitly.,,
